country_of_origin,variety,processing_method,total_cup_points,aroma,flavor,acidity,body,balance,altitude_mean_meters
Indonesia,Sumatra,Semi-washed / Semi-pulped,81.67,7.17,7.42,7.42,7.33,7.42,
Honduras,Caturra,Natural / Dry,81.67,7.5,7.33,7.5,7.17,7.17,1400.0
Costa Rica,Caturra,Washed / Wet,81.67,7.5,7.17,7.17,7.5,7.08,1850.0
Mexico,Unknown,Washed / Wet,81.67,7.42,7.42,8.0,7.58,7.5,
Taiwan,Typica,Semi-washed / Semi-pulped,81.67,7.5,7.5,7.25,7.42,7.25,150.0
Taiwan,Typica,Washed / Wet,81.67,7.58,7.42,7.42,7.33,7.33,750.0
Mexico,Typica,Washed / Wet,81.67,7.5,7.42,7.58,7.33,7.33,1400.0
Guatemala,Bourbon,Washed / Wet,81.67,7.5,7.67,7.33,7.33,7.33,1752.6
Mexico,Typica,Washed / Wet,81.67,7.25,7.67,7.67,7.67,7.58,1650.0
Mexico,Bourbon,Washed / Wet,81.67,7.67,7.25,7.75,7.5,7.25,1400.0
Mexico,Bourbon,Washed / Wet,81.67,7.5,7.42,7.42,7.42,7.42,1200.0
Mexico,Bourbon,Washed / Wet,81.67,7.58,7.42,7.58,7.25,7.17,1400.0
Mexico,Caturra,Semi-washed / Semi-pulped,81.67,7.75,7.58,7.17,7.58,7.33,940.0
United States (Hawaii),Hawaiian Kona,Washed / Wet,81.67,7.42,7.33,7.33,7.17,7.83,
Honduras,Catimor,Washed / Wet,81.58,7.5,7.42,7.42,7.5,7.33,1200.0
Guatemala,Bourbon,Washed / Wet,81.58,7.42,7.42,7.5,7.42,7.33,
Taiwan,Typica,Washed / Wet,81.58,7.42,7.42,7.67,7.33,7.25,800.0
Costa Rica,Caturra,Washed / Wet,81.58,7.58,7.42,7.17,7.08,7.58,13.0
"Tanzania, United Republic Of",Other,Washed / Wet,81.58,7.42,7.42,7.42,7.42,7.33,1800.0
Malawi,Gesha,Washed / Wet,81.58,7.42,7.42,7.58,7.33,7.33,1100.0
Taiwan,Typica,Semi-washed / Semi-pulped,81.58,7.33,7.17,7.08,8.33,8.25,850.0
Brazil,Yellow Bourbon,Washed / Wet,81.58,7.42,7.42,7.33,7.5,7.25,1260.0
Guatemala,Bourbon,Washed / Wet,81.58,7.42,7.33,7.58,7.42,7.5,1310.64
Mexico,Typica,Washed / Wet,81.58,7.67,7.5,7.5,6.75,7.42,1400.0
Mexico,Marigojipe,Natural / Dry,81.58,7.33,7.5,7.5,7.5,7.17,1600.0
Mexico,Typica,Natural / Dry,81.58,7.67,7.58,7.58,7.58,7.42,1650.0
Thailand,Unknown,Unknown,81.58,7.08,7.33,7.58,7.17,7.5,1499.9208
Thailand,Unknown,Unknown,81.58,7.33,7.33,7.5,7.58,7.33,
Costa Rica,Unknown,Unknown,81.58,7.25,7.17,7.33,7.5,7.75,1600.2
Guatemala,Bourbon,Washed / Wet,81.5,7.67,7.58,7.42,7.33,7.42,1219.2
Nicaragua,Caturra,Other,81.5,7.5,7.42,7.33,7.25,7.33,1100.0
Honduras,Caturra,Washed / Wet,81.5,7.5,7.5,7.42,7.17,7.25,1400.0
Guatemala,Bourbon,Unknown,81.5,7.5,7.42,7.25,7.5,7.25,
Taiwan,Typica,Natural / Dry,81.5,7.5,7.42,7.08,7.58,7.25,180.0
Myanmar,Catuai,Washed / Wet,81.5,7.25,7.42,7.5,7.33,7.33,1219.2
Costa Rica,Caturra,Washed / Wet,81.5,7.83,7.33,7.08,7.33,7.5,1200.0
Malawi,Gesha,Washed / Wet,81.5,7.67,7.42,7.5,7.5,7.17,1599.0
Guatemala,Other,Washed / Wet,81.5,7.5,7.42,7.58,7.25,7.42,1219.2
Taiwan,Typica,Washed / Wet,81.5,7.42,7.33,7.33,7.42,7.5,900.0
Brazil,Yellow Bourbon,Semi-washed / Semi-pulped,81.5,7.58,7.5,7.67,7.67,7.83,1200.0
Haiti,Blue Mountain,Washed / Wet,81.5,7.42,7.33,7.42,7.42,7.33,825.0
Taiwan,Typica,Other,81.5,7.5,7.42,7.25,7.33,7.33,600.0
Mexico,Typica,Washed / Wet,81.5,7.33,7.33,7.42,7.5,7.5,1150.0
Mexico,Typica,Washed / Wet,81.5,7.58,7.42,7.42,7.33,7.33,1600.0
Mexico,Catuai,Washed / Wet,81.5,7.42,7.25,7.42,7.17,8.0,1100.0
Mexico,Typica,Semi-washed / Semi-pulped,81.5,7.33,7.5,7.33,7.33,7.42,1000.0
Mexico,Bourbon,Washed / Wet,81.5,7.42,7.42,7.17,7.25,7.42,1250.0
Mexico,Typica,Natural / Dry,81.5,7.5,7.5,7.5,7.42,7.58,1100.0
Indonesia,Other,Washed / Wet,81.5,7.75,7.17,7.33,7.58,7.33,1400.0
Brazil,Bourbon,Semi-washed / Semi-pulped,81.5,7.5,7.42,7.42,7.5,7.33,125.0
Guatemala,Bourbon,Washed / Wet,81.5,7.33,7.5,7.42,7.17,7.33,
Colombia,Unknown,Unknown,81.5,7.42,7.42,7.42,7.42,7.33,1450.0
United States (Hawaii),Unknown,Unknown,81.5,7.33,7.33,7.5,7.5,7.83,
Mexico,Mundo Novo,Washed / Wet,81.42,7.58,7.33,7.33,7.5,7.33,1100.0
Guatemala,Catuai,Washed / Wet,81.42,7.42,7.33,7.58,7.33,7.25,1371.6
Brazil,Catuai,Natural / Dry,81.42,7.33,7.5,7.33,6.83,7.42,1100.0
Honduras,Catuai,Washed / Wet,81.42,7.5,7.33,7.25,7.5,7.42,1400.0
Taiwan,Typica,Washed / Wet,81.42,7.83,7.75,7.17,7.08,7.08,110.0
Malawi,Gesha,Washed / Wet,81.42,7.58,7.17,7.42,7.08,7.42,1422.0
Brazil,Bourbon,Natural / Dry,81.42,7.25,7.5,7.17,7.33,7.33,1100.0
Guatemala,Bourbon,Washed / Wet,81.42,7.42,7.5,7.42,7.42,7.42,1550.0
Mexico,Typica,Washed / Wet,81.42,7.67,7.33,7.17,7.25,7.42,1550.0
Peru,Unknown,Washed / Wet,81.42,7.42,7.42,7.33,7.42,7.42,
Guatemala,Bourbon,Washed / Wet,81.42,7.42,7.33,7.42,7.42,7.5,1310.64
Mexico,Caturra,Washed / Wet,81.42,7.42,7.33,7.17,7.25,7.42,763.0
Mexico,Typica,Washed / Wet,81.42,7.42,7.42,7.25,7.5,7.33,1100.0
Colombia,Caturra,Natural / Dry,81.42,7.5,7.42,7.17,7.17,7.75,1750.0
Colombia,Unknown,Unknown,81.42,7.75,7.33,7.0,7.33,7.25,1880.0
United States (Hawaii),Peaberry,Unknown,81.42,7.83,7.0,7.58,7.58,7.5,
Colombia,Caturra,Washed / Wet,81.33,7.5,7.33,7.17,7.33,7.42,
Honduras,Caturra,Washed / Wet,81.33,7.5,7.5,7.17,7.5,7.33,1500.0
Mexico,Unknown,Unknown,81.33,7.67,7.42,7.42,7.58,7.08,1130.0
Brazil,Catuai,Natural / Dry,81.33,7.25,7.33,7.33,7.33,7.42,1100.0
Honduras,Catuai,Washed / Wet,81.33,7.58,7.42,7.42,7.17,7.17,1350.0
Brazil,Yellow Bourbon,Other,81.33,7.17,7.33,7.25,7.42,7.33,1200.0
Philippines,Other,Washed / Wet,81.33,7.08,7.33,7.33,7.33,7.5,1400.0
Malawi,Gesha,Washed / Wet,81.33,7.75,7.33,7.33,7.33,7.25,1200.0
Honduras,Catuai,Washed / Wet,81.33,7.33,7.33,7.33,7.5,7.33,1450.0
Mexico,Typica,Washed / Wet,81.33,7.58,7.42,7.33,7.25,7.25,1800.0
Mexico,Typica,Washed / Wet,81.33,7.33,7.25,7.42,7.58,7.33,1000.0
Brazil,Catuai,Natural / Dry,81.33,7.5,7.58,7.5,7.75,7.83,1100.0
Taiwan,Typica,Natural / Dry,81.25,7.83,7.75,7.83,7.83,7.75,680.0
Brazil,Yellow Bourbon,Natural / Dry,81.25,7.17,7.42,7.08,6.92,8.17,1.0
Nicaragua,Catuai,Washed / Wet,81.25,7.08,7.5,7.17,7.42,7.25,1100.0
Honduras,Catuai,Washed / Wet,81.25,7.42,7.17,7.5,7.33,7.25,1400.0
Guatemala,Pacamara,Washed / Wet,81.25,7.33,7.42,7.25,7.42,7.33,1700.0
"Tanzania, United Republic Of",Other,Washed / Wet,81.25,7.33,7.17,7.5,7.25,7.42,1700.0
Taiwan,Typica,Semi-washed / Semi-pulped,81.25,7.5,7.5,7.25,7.25,7.25,650.0
Guatemala,Caturra,Washed / Wet,81.25,7.5,7.33,7.58,7.0,7.25,1524.0
Mexico,Typica,Washed / Wet,81.25,7.42,7.42,7.33,7.5,7.42,1500.0
Nicaragua,Unknown,Washed / Wet,81.17,7.33,7.5,7.17,7.58,7.17,1200.0
"Tanzania, United Republic Of",Bourbon,Washed / Wet,81.17,7.67,7.17,7.33,7.5,7.17,1050.0
Mexico,Caturra,Washed / Wet,81.17,7.75,7.58,7.25,7.08,7.25,1200.0
Costa Rica,Caturra,Washed / Wet,81.17,7.5,7.5,7.17,7.08,7.17,1300.0
Honduras,Catuai,Natural / Dry,81.17,7.42,7.33,7.42,7.33,7.33,1450.0
Thailand,Caturra,Washed / Wet,81.17,6.83,7.42,7.17,7.5,7.42,1450.0
Philippines,Typica,Natural / Dry,81.17,7.25,7.25,7.08,7.58,7.5,1200.0
"Tanzania, United Republic Of",Bourbon,Washed / Wet,81.17,7.58,7.17,7.33,7.33,7.25,1550.0
Malawi,Caturra,Washed / Wet,81.17,7.58,7.25,7.08,7.33,7.33,995.0
Costa Rica,Catuai,Washed / Wet,81.17,7.33,7.08,7.25,7.33,7.58,1300.0
Brazil,Catuai,Natural / Dry,81.17,7.42,7.42,7.42,7.33,7.25,
Mexico,Typica,Natural / Dry,81.17,7.42,7.25,7.75,7.42,7.17,1800.0
Guatemala,Caturra,Washed / Wet,81.17,7.42,7.25,7.25,7.25,7.42,1450.0
Brazil,Mundo Novo,Natural / Dry,81.17,7.42,7.33,7.42,7.5,7.17,1000.0
United States (Hawaii),Unknown,Unknown,81.17,7.25,7.75,7.67,7.42,7.67,
Ethiopia,Unknown,Natural / Dry,81.08,7.42,7.33,7.33,7.42,7.17,
Brazil,Mundo Novo,Natural / Dry,81.08,7.58,7.42,7.25,7.75,7.58,695.0
Nicaragua,Other,Washed / Wet,81.08,7.33,7.33,7.42,7.33,7.33,1100.0
United States,Pache Comun,Natural / Dry,81.08,7.42,7.17,7.42,7.25,7.33,1706.88
"Tanzania, United Republic Of",Other,Washed / Wet,81.08,7.42,7.33,7.25,7.25,7.33,1456.0
Costa Rica,Caturra,Washed / Wet,81.08,7.42,7.25,7.25,7.25,7.58,1500.0
United States (Puerto Rico),Other,Washed / Wet,81.08,7.67,7.75,7.58,7.58,7.67,853.44
Mexico,Typica,Washed / Wet,81.08,7.25,7.42,7.33,7.17,7.33,1650.0
Mexico,Typica,Washed / Wet,81.08,7.33,7.25,7.42,7.25,7.42,1300.0
Mexico,Typica,Washed / Wet,81.08,7.33,7.33,7.42,7.25,7.25,1642.0
Mexico,Typica,Washed / Wet,81.08,7.42,7.33,7.42,7.17,7.25,1200.0
United States (Hawaii),Hawaiian Kona,Washed / Wet,81.08,7.42,7.42,7.58,6.92,7.17,
Brazil,Bourbon,Pulped natural / honey,81.0,7.25,7.25,7.5,7.33,7.17,
El Salvador,Bourbon,Washed / Wet,81.0,7.42,7.08,7.33,7.25,7.58,1450.0
Brazil,Yellow Bourbon,Pulped natural / honey,81.0,7.33,7.17,7.67,7.33,7.17,
Guatemala,Bourbon,Washed / Wet,81.0,7.42,7.25,7.5,7.25,7.17,
Colombia,Caturra,Washed / Wet,81.0,7.67,7.5,5.25,7.67,7.75,1600.0
Guatemala,Bourbon,Washed / Wet,81.0,7.5,7.25,7.25,7.5,7.25,1219.2
Taiwan,Typica,Washed / Wet,81.0,7.25,7.17,7.25,7.5,7.33,758.0
Honduras,Caturra,Natural / Dry,81.0,7.42,7.25,7.33,7.25,7.17,1350.0
Brazil,Mundo Novo,Natural / Dry,81.0,7.67,7.75,7.75,7.83,7.75,
"Tanzania, United Republic Of",Other,Washed / Wet,81.0,7.33,7.33,7.42,7.17,7.33,1525.0
Uganda,SL14,Natural / Dry,81.0,7.33,6.92,7.33,7.42,7.42,1700.0
Taiwan,Typica,Semi-washed / Semi-pulped,81.0,7.5,6.92,7.33,7.33,7.33,1100.0
Thailand,Unknown,Washed / Wet,81.0,7.33,7.42,7.42,7.25,7.17,800.0
Mexico,Other,Washed / Wet,81.0,7.08,7.33,7.33,7.42,7.25,950.0
Mexico,Typica,Washed / Wet,81.0,7.58,7.67,7.67,7.58,7.5,1100.0
Taiwan,Other,Washed / Wet,80.92,7.33,7.17,7.33,7.33,7.25,200.0
Guatemala,Bourbon,Washed / Wet,80.92,7.67,7.67,7.58,7.67,7.5,1901.0
Kenya,SL28,Washed / Wet,80.92,7.17,7.58,7.5,8.0,7.75,1600.0
Mexico,Bourbon,Washed / Wet,80.92,7.5,7.33,7.42,7.5,7.33,1100.0
Myanmar,Other,Other,80.92,7.17,7.42,7.58,7.33,7.0,1066.8
United States (Hawaii),Hawaiian Kona,Natural / Dry,80.92,7.42,7.08,7.17,7.58,7.25,
"Tanzania, United Republic Of",Other,Washed / Wet,80.92,7.33,7.17,7.25,7.42,7.33,1700.0
Brazil,Yellow Bourbon,Natural / Dry,80.92,7.25,7.33,7.25,7.25,7.33,1200.0
Taiwan,Typica,Washed / Wet,80.92,7.92,7.67,7.08,7.08,7.08,550.0
Brazil,Bourbon,Natural / Dry,80.92,7.17,7.42,7.25,7.25,7.33,1100.0
Nicaragua,Caturra,Washed / Wet,80.92,7.33,7.08,7.0,7.5,7.42,1050.0
Guatemala,Pacas,Washed / Wet,80.92,7.58,7.42,7.5,7.25,7.17,1524.0
Taiwan,Typica,Washed / Wet,80.92,7.42,7.25,7.25,7.25,7.25,900.0
Taiwan,Typica,Other,80.92,7.25,7.17,7.08,7.08,8.08,688.0
Taiwan,Typica,Washed / Wet,80.92,7.42,7.25,7.25,7.25,7.25,300.0
Mexico,Typica,Washed / Wet,80.92,7.58,7.33,7.5,7.17,7.25,1186.0
Thailand,Peaberry,Unknown,80.92,7.67,7.58,7.33,7.17,7.0,
Laos,Catimor,Washed / Wet,80.83,7.42,7.33,7.17,7.17,7.25,1300.0
Guatemala,Caturra,Washed / Wet,80.83,7.67,7.25,7.33,7.17,7.25,1200.0
Mexico,Catuai,Semi-washed / Semi-pulped,80.83,7.17,7.08,7.42,7.25,7.33,1210.0
Mexico,Typica,Washed / Wet,80.83,7.33,7.25,7.33,7.25,7.17,1100.0
Mexico,Bourbon,Washed / Wet,80.83,7.5,7.17,7.25,7.17,7.17,100.0
United States (Hawaii),Hawaiian Kona,Washed / Wet,80.83,7.42,7.33,7.25,7.33,7.5,
Colombia,Unknown,Unknown,80.83,7.33,7.33,6.83,7.33,7.67,1800.0
Brazil,Unknown,Natural / Dry,80.75,7.17,7.25,7.17,7.25,7.58,
Myanmar,Catuai,Washed / Wet,80.75,6.92,7.5,7.58,7.5,7.08,
Guatemala,Caturra,Washed / Wet,80.75,7.5,7.33,7.42,7.17,7.17,1706.88
Nicaragua,Other,Washed / Wet,80.75,7.25,7.25,7.25,7.33,7.25,
Honduras,Caturra,Natural / Dry,80.75,7.5,7.33,7.42,7.25,7.17,1450.0
Panama,Caturra,Other,80.75,7.25,7.33,7.33,7.33,7.17,1680.0
Honduras,Catuai,Washed / Wet,80.75,7.42,7.17,7.42,7.25,7.25,1350.0
Honduras,Catuai,Natural / Dry,80.75,7.25,7.33,7.5,7.25,7.33,1450.0
Costa Rica,Caturra,Washed / Wet,80.75,7.33,7.33,7.25,7.17,7.17,1300.0
Mexico,Typica,Washed / Wet,80.75,7.58,7.33,7.25,7.5,7.5,1200.0
Haiti,Typica,Washed / Wet,80.75,7.42,7.0,7.25,7.08,7.33,1000.0
United States (Hawaii),Arusha,Natural / Dry,80.75,7.08,7.33,7.25,7.33,7.67,
Taiwan,Typica,Other,80.67,7.33,7.08,7.08,7.42,7.33,
Indonesia,Mandheling,Semi-washed / Semi-pulped,80.67,7.58,7.42,7.67,7.5,7.5,1350.0
Guatemala,Bourbon,Washed / Wet,80.67,7.67,7.42,7.17,7.42,7.17,1500.0
Costa Rica,Caturra,Washed / Wet,80.67,7.83,7.5,7.67,7.83,7.5,185.0
Malawi,Caturra,Washed / Wet,80.67,7.5,7.25,7.17,7.25,7.17,995.0
Mexico,Typica,Washed / Wet,80.67,7.25,7.17,7.25,7.17,7.42,1200.0
Colombia,Caturra,Natural / Dry,80.67,7.67,7.5,7.67,7.5,7.75,1550.0
Guatemala,Bourbon,Washed / Wet,80.67,7.67,7.17,7.5,7.0,7.0,1550.0
Guatemala,Bourbon,Washed / Wet,80.67,7.0,7.33,7.33,7.0,7.33,
Guatemala,Bourbon,Washed / Wet,80.67,7.0,7.5,7.17,7.17,7.17,
Colombia,Unknown,Unknown,80.67,7.17,7.25,7.42,7.08,7.42,
Brazil,Unknown,Unknown,80.58,7.33,7.25,7.08,7.58,7.25,
Nicaragua,Unknown,Unknown,80.58,7.08,7.5,7.25,7.42,7.0,
"Tanzania, United Republic Of",Other,Washed / Wet,80.58,7.25,7.08,7.33,7.33,7.25,1400.0
Brazil,Bourbon,Semi-washed / Semi-pulped,80.58,7.42,7.25,7.0,7.08,7.25,1200.0
Honduras,Caturra,Washed / Wet,80.58,7.5,7.17,7.42,7.33,7.0,1400.0
Guatemala,Bourbon,Natural / Dry,80.58,7.17,7.42,7.5,7.17,7.25,1383.792
United States (Hawaii),Unknown,Unknown,80.58,7.42,7.58,7.92,7.83,7.83,
Colombia,Unknown,Unknown,80.58,7.08,7.25,7.5,7.08,7.33,
Taiwan,Other,Natural / Dry,80.5,7.17,7.17,7.42,7.17,7.25,50.0
Guatemala,Caturra,Washed / Wet,80.5,7.33,7.25,7.17,7.25,7.17,1500.0
Honduras,Catuai,Washed / Wet,80.5,7.58,7.33,7.17,7.33,7.08,1650.0
Mauritius,Unknown,Unknown,80.5,7.25,7.25,7.17,7.25,7.17,280.0
Brazil,Yellow Bourbon,Semi-washed / Semi-pulped,80.5,7.25,7.33,7.5,7.33,7.25,1250.0
Myanmar,Other,Washed / Wet,80.5,7.17,7.33,7.42,7.25,7.08,
Guatemala,Other,Washed / Wet,80.5,7.5,7.17,7.5,7.17,7.17,1219.2
Brazil,Yellow Bourbon,Semi-washed / Semi-pulped,80.5,7.42,7.42,7.33,7.67,7.5,1250.0
United States (Hawaii),Hawaiian Kona,Natural / Dry,80.5,7.42,7.33,7.58,7.58,7.42,
Guatemala,Bourbon,Washed / Wet,80.5,7.5,7.5,7.67,7.17,7.0,1859.28
Mexico,Typica,Washed / Wet,80.5,7.25,7.25,7.33,7.25,7.17,1450.0
Honduras,Unknown,Unknown,80.42,7.25,7.42,7.42,7.33,7.0,1450.0
Taiwan,Typica,Washed / Wet,80.42,7.58,7.17,7.17,7.17,7.17,600.0
El Salvador,Bourbon,Washed / Wet,80.42,7.33,7.17,7.08,7.33,7.17,1450.0
China,Other,Washed / Wet,80.42,7.25,7.08,7.17,7.33,7.17,1700.0
Taiwan,Typica,Washed / Wet,80.42,7.25,7.25,7.25,7.25,7.25,600.0
Mexico,Typica,Washed / Wet,80.42,6.92,7.17,7.5,7.33,7.17,1050.0
Mexico,Caturra,Washed / Wet,80.42,7.42,7.08,7.33,7.25,7.17,1550.0
Burundi,Unknown,Unknown,80.33,7.08,7.25,7.33,7.08,7.08,1700.0
"Tanzania, United Republic Of",Bourbon,Washed / Wet,80.33,7.25,7.17,7.25,7.42,7.08,1700.0
"Tanzania, United Republic Of",Other,Washed / Wet,80.33,7.25,7.17,7.25,7.25,7.08,
Taiwan,Yellow Bourbon,Other,80.33,7.25,7.25,7.25,7.25,7.25,600.0
Guatemala,Bourbon,Washed / Wet,80.33,7.33,7.33,7.5,7.0,7.17,1310.64
Mexico,Typica,Semi-washed / Semi-pulped,80.33,7.25,7.08,7.33,7.33,7.17,940.0
United States (Hawaii),Hawaiian Kona,Washed / Wet,80.33,7.17,7.5,7.33,7.67,7.33,
Ethiopia,Unknown,Unknown,80.33,7.25,7.25,7.33,7.5,8.0,
Brazil,Catuai,Natural / Dry,80.25,7.17,7.33,7.08,7.0,7.0,995.0
Honduras,Caturra,Natural / Dry,80.25,7.25,7.25,7.0,7.42,7.0,1400.0
Mexico,Caturra,Washed / Wet,80.25,7.25,7.17,7.33,7.33,7.0,1600.0
Myanmar,Other,Natural / Dry,80.25,8.0,7.08,7.33,7.08,6.92,914.4
Myanmar,Catuai,Natural / Dry,80.25,7.42,7.0,7.0,7.17,7.33,
Nicaragua,Caturra,Washed / Wet,80.25,7.08,6.92,7.25,7.5,7.25,900.0
United States (Hawaii),Hawaiian Kona,Natural / Dry,80.25,7.5,7.08,7.67,7.42,7.58,
Colombia,Typica,Washed / Wet,80.25,7.42,8.0,7.75,8.08,7.58,
Taiwan,Typica,Semi-washed / Semi-pulped,80.25,7.25,7.08,7.25,7.17,7.25,700.0
Guatemala,Caturra,Washed / Wet,80.25,7.0,7.17,7.33,7.0,7.17,1400.0
Mexico,Caturra,Washed / Wet,80.25,7.58,7.33,7.25,6.75,7.0,808.0
Vietnam,Catimor,Other,80.17,7.42,7.25,7.58,7.42,7.33,1550.0
Nicaragua,Caturra,Washed / Wet,80.17,7.17,7.08,7.33,7.25,7.08,1187.5
Honduras,Catuai,Washed / Wet,80.17,7.25,7.25,7.17,7.08,7.08,1400.0
Guatemala,Bourbon,Washed / Wet,80.17,7.33,7.33,7.17,7.17,7.17,1310.64
Mexico,Typica,Washed / Wet,80.17,7.33,7.08,7.42,7.25,7.08,1250.0
Mexico,Typica,Washed / Wet,80.17,7.58,7.42,7.5,7.08,7.17,1550.0
Mexico,Bourbon,Washed / Wet,80.17,7.33,7.33,7.08,7.25,7.0,1000.0
Guatemala,Bourbon,Washed / Wet,80.17,7.33,7.33,7.33,7.0,7.0,1310.64
United States (Hawaii),Unknown,Unknown,80.17,7.58,7.5,7.33,7.67,7.33,
Brazil,Bourbon,Pulped natural / honey,80.08,7.17,7.17,7.17,7.25,7.25,1100.0
Taiwan,Typica,Washed / Wet,80.08,7.42,7.25,7.17,7.0,7.0,850.0
Nicaragua,Unknown,Natural / Dry,80.08,7.25,7.17,7.25,7.17,7.25,
Taiwan,Typica,Other,80.08,7.25,7.25,7.25,7.08,7.0,200.0
Taiwan,Typica,Washed / Wet,80.08,7.25,7.25,7.0,7.25,7.08,150.0
Taiwan,Typica,Semi-washed / Semi-pulped,80.08,7.25,7.25,7.08,7.17,7.08,250.0
Mexico,Typica,Washed / Wet,80.08,7.33,7.17,7.08,7.08,7.08,1300.0
Mexico,Typica,Washed / Wet,80.08,7.25,7.08,7.17,7.33,7.17,1300.0
Nicaragua,Caturra,Washed / Wet,80.0,7.33,7.08,7.08,7.42,7.17,1250.0
Myanmar,Other,Washed / Wet,80.0,7.17,7.33,7.42,7.17,7.0,
Mexico,Typica,Washed / Wet,80.0,7.58,7.75,7.5,7.5,7.5,1400.0
Taiwan,Typica,Washed / Wet,80.0,7.25,7.25,7.0,7.25,7.0,250.0
Thailand,Unknown,Washed / Wet,80.0,7.33,6.67,7.42,7.42,7.08,800.0
Mexico,Typica,Washed / Wet,80.0,7.25,7.25,7.17,7.33,7.33,1250.0
Mexico,Other,Washed / Wet,80.0,7.08,7.33,7.33,7.08,7.0,1100.0
Ethiopia,Unknown,Unknown,80.0,7.42,7.42,7.92,7.75,7.58,
Colombia,Unknown,Washed / Wet,79.92,7.83,7.67,7.75,7.83,7.17,
United States (Hawaii),Hawaiian Kona,Natural / Dry,79.92,7.5,7.0,6.92,7.33,7.17,
Mexico,Bourbon,Washed / Wet,79.92,7.33,7.08,7.33,7.42,7.17,1300.0
Mexico,Other,Washed / Wet,79.92,7.17,7.17,7.25,7.33,7.08,1100.0
Mexico,Bourbon,Washed / Wet,79.92,7.5,7.17,7.17,7.25,7.08,1100.0
Mexico,Catuai,Washed / Wet,79.92,7.17,7.08,7.08,7.5,7.33,1100.0
Mexico,Typica,Natural / Dry,79.92,7.33,7.25,7.42,7.17,7.17,1250.0
Mexico,Mundo Novo,Washed / Wet,79.92,7.17,7.33,7.58,7.33,7.08,1250.0
United States (Hawaii),Unknown,Unknown,79.92,7.5,7.42,7.42,7.5,7.58,
Kenya,SL34,Washed / Wet,79.83,7.0,7.08,7.17,7.25,7.25,1500.0
Guatemala,Bourbon,Washed / Wet,79.83,7.33,7.25,7.33,7.25,7.33,1700.0
Nicaragua,Caturra,Washed / Wet,79.83,6.83,7.17,6.92,7.5,7.08,1250.0
Mexico,Typica,Washed / Wet,79.83,7.17,7.08,7.25,7.5,7.0,1300.0
United States (Hawaii),Hawaiian Kona,Natural / Dry,79.83,7.58,7.08,7.17,7.5,7.17,
Guatemala,Bourbon,Washed / Wet,79.75,7.5,7.42,7.58,7.33,7.42,
Taiwan,Typica,Natural / Dry,79.75,7.75,7.33,7.33,7.67,7.83,1000.0
Taiwan,Typica,Washed / Wet,79.75,7.08,7.08,7.0,7.17,7.17,600.0
Thailand,Unknown,Washed / Wet,79.75,7.25,7.08,7.5,7.08,6.92,800.0
Peru,Unknown,Washed / Wet,79.75,7.0,7.08,7.25,7.5,7.42,
Costa Rica,Catuai,Washed / Wet,79.75,7.58,7.5,7.75,7.67,7.58,1100.0
Mexico,Typica,Washed / Wet,79.75,7.58,7.08,7.0,7.5,6.92,1400.0
Mexico,Bourbon,Washed / Wet,79.75,7.58,7.08,7.58,7.5,6.92,1022.0
Mexico,Bourbon,Washed / Wet,79.75,7.25,7.08,7.17,7.17,7.08,1300.0
Mexico,Bourbon,Washed / Wet,79.75,7.25,7.17,7.08,7.17,7.0,1450.0
Mexico,Typica,Washed / Wet,79.75,7.33,7.25,7.08,7.08,7.0,1050.0
Guatemala,Bourbon,Washed / Wet,79.75,7.58,7.33,7.33,7.0,7.33,
Mexico,Typica,Washed / Wet,79.75,7.25,6.83,7.08,7.25,7.08,1100.0
Guatemala,Bourbon,Washed / Wet,79.67,7.42,7.42,7.58,7.42,7.33,1219.2
El Salvador,Bourbon,Washed / Wet,79.67,7.25,7.08,6.83,7.33,7.17,1250.0
Thailand,Unknown,Washed / Wet,79.67,6.92,7.17,7.42,7.17,7.08,800.0
Guatemala,Bourbon,Washed / Wet,79.67,7.5,7.0,7.08,7.08,7.17,1310.64
Mexico,Typica,Washed / Wet,79.67,7.42,7.25,7.58,7.17,6.58,1400.0
Mexico,Caturra,Washed / Wet,79.67,7.33,7.17,6.75,7.08,7.0,975.0
Mexico,Mundo Novo,Washed / Wet,79.67,6.92,7.17,7.17,7.08,7.08,1264.0
Thailand,Peaberry,Unknown,79.67,7.17,7.17,7.0,7.25,6.92,
Mexico,Typica,Washed / Wet,79.58,7.08,7.0,7.33,7.25,7.08,1250.0
Mexico,Caturra,Washed / Wet,79.58,7.25,6.92,7.33,7.25,7.0,1550.0
Colombia,Unknown,Unknown,79.58,7.25,7.17,6.75,7.17,7.33,1800.0
Guatemala,Unknown,Unknown,79.58,7.08,7.0,7.33,7.25,7.0,1325.88
Nicaragua,Caturra,Natural / Dry,79.5,6.92,6.92,7.42,7.25,7.0,1050.0
Taiwan,Typica,Natural / Dry,79.5,6.92,7.0,7.0,7.42,7.0,700.0
Colombia,Caturra,Washed / Wet,79.5,7.83,7.5,7.42,7.67,7.5,1550.0
Mexico,Caturra,Washed / Wet,79.5,7.25,7.08,7.25,7.58,7.08,1550.0
Mexico,Typica,Washed / Wet,79.5,7.25,7.33,7.25,7.17,7.17,1100.0
Guatemala,Bourbon,Washed / Wet,79.42,7.08,7.33,7.58,7.33,7.42,1219.2
Guatemala,Other,Washed / Wet,79.42,7.25,7.33,7.0,7.0,7.17,1219.2
