country_of_origin,variety,processing_method,total_cup_points,aroma,flavor,acidity,body,balance,altitude_mean_meters
Guatemala,Bourbon,Washed / Wet,84.58,8.0,7.92,7.58,7.58,7.67,1219.2
Colombia,Caturra,Washed / Wet,84.58,7.67,7.67,7.75,7.58,8.5,1550.0
Colombia,Caturra,Washed / Wet,84.58,7.75,7.75,7.75,7.58,8.0,1750.0
Kenya,SL28,Washed / Wet,84.58,7.75,7.75,8.08,7.75,7.75,
Colombia,Caturra,Washed / Wet,84.58,7.67,7.83,8.0,7.58,7.92,1750.0
Costa Rica,Bourbon,Semi-washed / Semi-pulped,84.58,7.75,7.83,8.0,7.83,7.67,1575.0
Colombia,Caturra,Washed / Wet,84.58,7.42,7.67,7.75,8.08,7.83,1800.0
Brazil,Bourbon,Semi-washed / Semi-pulped,84.58,8.0,8.0,7.75,7.58,7.75,1300.0
Brazil,Catuai,Semi-washed / Semi-pulped,84.58,8.5,8.0,7.75,7.5,7.83,1100.0
Costa Rica,Caturra,Washed / Wet,84.5,7.92,7.67,7.75,7.67,7.58,1200.0
Uganda,SL14,Washed / Wet,84.5,7.92,7.75,7.75,7.83,7.75,1750.0
China,Catimor,Washed / Wet,84.5,7.75,7.92,7.83,7.75,7.67,1680.0
Costa Rica,Caturra,Washed / Wet,84.5,7.92,7.83,7.83,7.58,7.58,1700.0
Colombia,Other,Washed / Wet,84.5,8.08,7.67,7.83,7.67,7.67,1800.0
China,Other,Washed / Wet,84.5,7.67,8.0,7.83,7.75,7.58,1100.0
Guatemala,Bourbon,Washed / Wet,84.5,8.17,7.83,7.83,7.67,7.83,1310.64
Kenya,SL28,Washed / Wet,84.5,7.92,7.83,8.0,7.67,7.75,2000.0
Mexico,Typica,Washed / Wet,84.5,8.0,7.92,8.08,7.5,7.67,1350.0
Mexico,Typica,Washed / Wet,84.5,7.92,7.83,7.75,7.75,7.83,1500.0
Guatemala,Bourbon,Washed / Wet,84.5,7.67,8.0,8.0,7.5,7.83,
Brazil,Unknown,Unknown,84.5,7.81,7.81,7.75,7.38,8.25,
Brazil,Unknown,Unknown,84.5,8.17,7.67,7.75,7.67,7.75,
Costa Rica,Caturra,Washed / Wet,84.42,7.58,7.83,8.0,7.67,7.58,1300.0
Indonesia,Mandheling,Other,84.42,7.67,7.67,7.58,7.83,7.83,1400.0
Colombia,Caturra,Natural / Dry,84.42,7.92,7.83,7.67,7.92,7.67,
Colombia,Caturra,Washed / Wet,84.42,7.92,7.75,7.92,7.67,7.75,1775.0
Taiwan,Typica,Washed / Wet,84.42,7.83,7.83,8.0,7.5,7.75,1200.0
United States (Hawaii),Hawaiian Kona,Natural / Dry,84.42,7.92,7.92,7.83,7.5,7.92,
Mexico,Pacamara,Washed / Wet,84.42,7.75,7.92,7.67,7.83,7.67,900.0
Ethiopia,Unknown,Unknown,84.42,7.5,7.75,7.92,7.92,7.75,
Kenya,SL28,Washed / Wet,84.33,7.33,7.58,7.75,7.75,7.92,1800.0
Honduras,Caturra,Unknown,84.33,7.92,8.0,7.67,7.67,7.75,1500.0
Colombia,Caturra,Washed / Wet,84.33,7.58,7.75,7.83,7.67,8.5,
Honduras,Catuai,Washed / Wet,84.33,7.58,7.92,7.75,7.92,7.75,1500.0
Colombia,Unknown,Unknown,84.33,7.67,7.67,7.83,7.75,7.83,
Colombia,Caturra,Natural / Dry,84.33,7.75,7.67,7.67,8.08,7.83,442.0
Colombia,Caturra,Washed / Wet,84.33,7.75,7.58,7.83,7.58,8.08,1800.0
Mexico,Typica,Washed / Wet,84.33,8.0,7.75,7.83,7.5,7.67,1700.0
Brazil,Yellow Bourbon,Unknown,84.33,8.17,8.0,7.75,7.5,7.67,1275.0
Brazil,Unknown,Unknown,84.33,8.0,8.0,7.5,7.67,7.75,1050.0
Ethiopia,Unknown,Unknown,84.33,7.75,7.75,7.75,7.5,7.92,1493.52
Guatemala,Unknown,Unknown,84.33,7.5,7.67,7.67,7.92,7.92,1386.84
Taiwan,Typica,Washed / Wet,84.25,7.92,7.75,7.67,7.67,7.83,1000.0
Thailand,Catimor,Natural / Dry,84.25,7.83,7.75,7.42,7.83,7.67,1200.0
Colombia,Caturra,Natural / Dry,84.25,7.83,7.58,7.58,7.67,8.0,2560.0
Guatemala,Caturra,Washed / Wet,84.25,7.75,7.75,7.92,7.75,7.75,1500.0
Guatemala,Caturra,Washed / Wet,84.25,7.75,7.92,8.08,7.58,7.67,1099.4136
China,Catimor,Natural / Dry,84.25,7.83,7.83,7.75,7.75,7.75,1400.0
Colombia,Caturra,Washed / Wet,84.25,7.67,7.67,7.75,7.67,7.92,1775.0
Colombia,Caturra,Washed / Wet,84.25,7.83,7.67,7.58,7.92,7.75,1775.0
Colombia,Other,Washed / Wet,84.25,7.83,7.75,7.58,7.67,7.75,1800.0
Colombia,Caturra,Natural / Dry,84.25,7.42,7.67,7.75,7.92,7.83,442.0
"Tanzania, United Republic Of",Other,Washed / Wet,84.25,7.83,7.67,7.83,7.67,7.67,1620.0
"Tanzania, United Republic Of",Other,Washed / Wet,84.25,7.83,7.75,7.75,7.67,7.75,1600.0
Guatemala,Bourbon,Other,84.25,7.83,7.83,7.92,7.58,7.75,1219.2
Colombia,Caturra,Washed / Wet,84.25,7.58,7.5,7.83,7.92,7.83,1700.0
United States (Hawaii),Hawaiian Kona,Natural / Dry,84.25,7.33,7.92,7.92,7.92,8.08,
Mexico,Typica,Semi-washed / Semi-pulped,84.25,7.83,7.92,7.83,7.5,7.75,1450.0
Mexico,Bourbon,Washed / Wet,84.25,7.83,7.83,7.67,7.83,7.58,1170.0
Mexico,Bourbon,Washed / Wet,84.25,7.83,7.92,7.75,7.5,7.75,1400.0
Uganda,Other,Natural / Dry,84.25,8.17,7.75,7.67,7.83,7.58,1700.0
Guatemala,Bourbon,Washed / Wet,84.17,7.75,7.83,7.83,7.67,7.75,1700.0
Colombia,Caturra,Washed / Wet,84.17,7.83,7.75,7.67,7.75,7.83,
Costa Rica,Caturra,Washed / Wet,84.17,7.92,7.75,7.67,7.5,7.67,1700.0
Guatemala,Caturra,Washed / Wet,84.17,7.75,7.75,8.0,7.67,7.83,1116.7872
Guatemala,Caturra,Washed / Wet,84.17,7.75,7.92,7.92,7.67,7.67,1565.0
Guatemala,Bourbon,Washed / Wet,84.17,7.58,7.83,7.83,7.83,7.67,
Colombia,Caturra,Washed / Wet,84.17,8.0,7.5,7.67,8.0,7.83,1775.0
Nicaragua,Caturra,Natural / Dry,84.17,7.67,7.83,7.5,7.67,7.83,1000.0
Brazil,Catuai,Natural / Dry,84.17,7.67,7.75,7.67,7.83,7.75,1150.0
Costa Rica,Caturra,Washed / Wet,84.17,7.67,7.75,7.75,7.5,8.0,1850.0
Ethiopia,Gesha,Natural / Dry,84.17,7.5,7.92,7.83,7.75,7.83,1606.5
"Tanzania, United Republic Of",Other,Washed / Wet,84.17,7.92,7.75,7.75,7.75,7.58,1400.0
Colombia,Other,Washed / Wet,84.17,7.67,7.5,7.42,7.83,8.58,1530.0
Guatemala,Unknown,Washed / Wet,84.17,7.67,7.75,7.75,7.75,7.75,
Kenya,SL28,Washed / Wet,84.17,7.58,7.75,7.75,7.75,7.83,250.5
Brazil,Mundo Novo,Natural / Dry,84.17,7.58,7.83,7.67,7.67,8.0,1038.5
Guatemala,Bourbon,Washed / Wet,84.17,7.92,7.75,7.67,7.83,7.92,1310.64
El Salvador,Bourbon,Natural / Dry,84.17,8.42,8.08,7.17,7.58,8.17,1500.0
Colombia,Caturra,Washed / Wet,84.17,7.75,7.75,7.75,7.83,7.75,1750.0
Guatemala,Catuai,Natural / Dry,84.17,7.83,7.5,8.0,7.83,7.83,
Uganda,Other,Washed / Wet,84.17,7.83,7.75,7.83,7.83,7.75,1600.0
Indonesia,Mandheling,Natural / Dry,84.13,7.81,7.88,7.75,7.63,7.75,
Colombia,Caturra,Washed / Wet,84.08,7.83,7.5,7.5,7.83,8.5,442.0
Taiwan,Typica,Washed / Wet,84.08,7.58,7.67,7.67,7.75,7.83,968.0
Guatemala,Bourbon,Washed / Wet,84.08,8.0,7.75,7.58,7.92,7.67,
Colombia,Caturra,Washed / Wet,84.08,7.92,7.75,7.75,7.67,7.67,1775.0
Guatemala,Bourbon,Washed / Wet,84.08,7.58,7.75,8.0,7.75,7.67,1550.0
United States (Hawaii),Hawaiian Kona,Natural / Dry,84.08,7.83,7.75,7.83,7.42,8.08,
Mexico,Typica,Washed / Wet,84.08,7.67,7.75,7.75,7.67,7.75,1480.0
Ethiopia,Other,Natural / Dry,84.08,7.92,7.92,8.0,7.92,7.92,1800.0
Costa Rica,Unknown,Washed / Wet,84.0,7.58,7.75,7.75,7.83,7.75,
Ethiopia,Gesha,Natural / Dry,84.0,7.83,7.75,7.75,7.33,7.75,1800.0
Honduras,Caturra,Washed / Wet,84.0,7.42,7.83,7.92,7.75,7.58,1500.0
Guatemala,Caturra,Washed / Wet,84.0,7.67,7.83,7.92,7.75,7.67,1706.88
Colombia,Other,Washed / Wet,84.0,7.67,7.67,7.58,7.58,7.83,1600.0
Guatemala,Bourbon,Natural / Dry,84.0,7.92,7.67,7.92,7.75,7.83,1219.2
Guatemala,Bourbon,Other,84.0,7.75,7.83,7.83,7.58,7.67,1219.2
Colombia,Unknown,Washed / Wet,84.0,7.67,7.75,7.67,7.67,7.75,1480.0
Colombia,Caturra,Natural / Dry,84.0,7.58,7.42,7.92,7.75,7.92,1450.0
Colombia,Caturra,Washed / Wet,84.0,7.67,7.67,7.5,7.67,7.67,1775.0
Ethiopia,Other,Natural / Dry,84.0,7.75,7.75,7.58,7.67,7.92,1550.0
Brazil,Yellow Bourbon,Natural / Dry,84.0,7.58,7.83,7.25,8.0,7.75,1260.0
Colombia,Caturra,Washed / Wet,84.0,7.67,7.83,7.75,7.67,7.75,1700.0
Kenya,SL34,Washed / Wet,84.0,7.67,7.83,7.75,7.92,7.67,1200.0
Thailand,Other,Washed / Wet,84.0,7.92,8.17,8.42,8.08,8.17,
Kenya,SL28,Washed / Wet,84.0,7.67,7.75,7.75,7.83,7.67,1650.0
Uganda,Other,Washed / Wet,84.0,7.92,7.75,7.67,7.67,7.83,1700.0
Thailand,Unknown,Unknown,84.0,7.58,7.75,7.75,7.58,7.75,
Brazil,Bourbon,Natural / Dry,83.92,7.5,7.75,7.5,7.58,7.5,890.0
Mexico,Mundo Novo,Washed / Wet,83.92,7.83,7.83,7.92,7.42,7.5,1300.0
Thailand,Catimor,Natural / Dry,83.92,7.67,7.75,7.67,7.67,7.83,1350.0
Brazil,Bourbon,Natural / Dry,83.92,7.58,7.67,7.75,7.58,7.83,934.0
Taiwan,Typica,Washed / Wet,83.92,7.83,7.75,7.75,7.83,7.75,1200.0
Colombia,Unknown,Unknown,83.92,7.75,7.67,7.75,7.83,7.75,442.0
Colombia,Unknown,Unknown,83.92,7.75,7.58,7.83,7.75,7.92,
Taiwan,Unknown,Natural / Dry,83.92,7.75,7.75,7.75,7.75,7.67,
Colombia,Unknown,Washed / Wet,83.92,7.92,7.67,7.83,7.58,7.67,
Colombia,Unknown,Washed / Wet,83.92,7.83,7.75,7.58,7.75,7.75,
Colombia,Caturra,Washed / Wet,83.92,7.75,7.58,7.83,7.83,7.67,1775.0
Taiwan,Typica,Washed / Wet,83.92,8.0,7.92,7.92,7.67,7.33,950.0
Colombia,Caturra,Natural / Dry,83.92,7.67,7.83,7.75,7.67,7.83,1550.0
Mexico,Typica,Washed / Wet,83.92,7.67,7.75,7.67,7.75,7.83,900.0
Mexico,Typica,Washed / Wet,83.92,7.5,7.67,7.83,7.75,7.75,1500.0
Mexico,Typica,Washed / Wet,83.92,7.75,7.92,7.92,7.75,7.67,1400.0
Colombia,Caturra,Washed / Wet,83.83,7.92,7.58,7.83,7.58,7.67,2527.0
Colombia,Caturra,Unknown,83.83,7.83,7.67,7.75,7.75,7.75,
Costa Rica,Caturra,Washed / Wet,83.83,7.67,7.67,7.67,7.5,7.75,1850.0
Guatemala,Bourbon,Washed / Wet,83.83,7.75,7.75,7.75,7.83,7.58,1500.0
